2021-06-21 12:06:222 INFO  HomePage :92 - Get Email id:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='Email']]
2021-06-21 12:06:378 INFO  HomePage :97 - Get company name:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:515 INFO  HomePage :102 - Get password:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:645 INFO  HomePage :107 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (fc719b5dae5db06cb0823dc3a5d40616)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:962 INFO  HomePage :116 - Register message:Proxy element for: DefaultElementLocator 'By.xpath: //div[text()='Your registration completed']'
2021-06-21 12:06:296 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 12:06:325 INFO  HomePage :55 - Clicking on radio button:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //a[@class='ico-register']]
2021-06-21 12:06:353 INFO  HomePage :59 - Register Text:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //h1[text()='Register']]
2021-06-21 12:06:521 INFO  HomePage :65 - Clicking on male button:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //label[contains(text(),'Male')]]
2021-06-21 12:06:552 INFO  HomePage :69 - Get first name:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='FirstName']]
2021-06-21 12:06:673 INFO  HomePage :74 - Get last name:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //input[@id='LastName']]
2021-06-21 12:06:880 INFO  HomePage :80 - Date:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //select[@name='DateOfBirthDay']//option[contains(text(),'11')]]
2021-06-21 12:06:960 INFO  HomePage :85 - Month:[[ChromeDriver: chrome on WINDOWS (14fa37c1690b5fd8fd084f8f6ecc985c)] -> xpath: //select[@name='DateOfBirthMonth']//option[contains(text(),'November')]]
